" or "," or "
"'%value%' appears to be a DNS hostname but cannot extract TLD part","'%value%' appears to be a DNS hostname but cannot extract TLD part"
"'%value%' appears to be a DNS hostname but cannot match TLD against known list","'%value%' appears to be a DNS hostname but cannot match TLD against known list"
"'%value%' appears to be a DNS hostname but cannot match against hostname schema for TLD '%tld%'","'%value%' appears to be a DNS hostname but cannot match against hostname schema for TLD '%tld%'"
"'%value%' appears to be a DNS hostname but contains a dash in an invalid position","'%value%' appears to be a DNS hostname but contains a dash in an invalid position"
"'%value%' appears to be a DNS hostname but the given punycode notation cannot be decoded","'%value%' appears to be a DNS hostname but the given punycode notation cannot be decoded"
"'%value%' appears to be a local network name but local network names are not allowed","'%value%' appears to be a local network name but local network names are not allowed"
"'%value%' appears to be an IP address, but IP addresses are not allowed","'%value%' appears to be an IP address, but IP addresses are not allowed"
"'%value%' does not appear to be a valid local network name","'%value%' does not appear to be a valid local network name"
"* Required Fields","* Bắt buộc nhập"
"ALL GROUPS","ALL GROUPS"
"Account Dashboard","Bảng Điều Khiển"
"Account Information","Thông tin tài khoản"
"Account Sharing Options","Tùy chọn chia sẻ tài khoản"
"Account confirmation is required. Please, check your e-mail for confirmation link. To resend confirmation email please <a href=""%s"">click here</a>.","Xác nhận tài khoản. Vui lòng kiểm tra Email và Click vào email xác nhận, bạn muốn gửi lại Email nhấn <a href=""%s"">vào đây</a>."
"Action","Action"
"Add New Address","Thêm Địa Chỉ Mới"
"Add New Customer","Add New Customer"
"Add New Customer Group","Add New Customer Group"
"Added From","Added From"
"Additional Address Entries","Bổ sung thêm địa chỉ"
"Address","Địa chỉ"
"Address Book","Sổ Địa Chỉ"
"Address Books","Address Books"
"Address Information","Address Information"
"Address Templates","Address Templates"
"Addresses","Địa chỉ"
"Admin","Admin"
"All","All"
"All Store Views","All Store Views"
"All countries","All countries"
"Always optional.","Always optional."
"Amount","Amount"
"An error occurred while deleting the address.","An error occurred while deleting the address."
"An error occurred while retrieving the option value: %s.","An error occurred while retrieving the option value: %s."
"An error occurred while saving the collection, aborting. Error: %s","An error occurred while saving the collection, aborting. Error: %s"
"An invalid option ID is specified for %s (%s), skipping the record.","An invalid option ID is specified for %s (%s), skipping the record."
"Approved","Approved"
"Are you sure that you want to remove this item?","Are you sure that you want to remove this item?"
"Are you sure you want to cancel adding of this address?","Are you sure you want to cancel adding of this address?"
"Are you sure you want to delete this address?","Are you sure you want to delete this address?"
"Are you sure?","Are you sure?"
"Array of Entity collections is expected.","Array of Entity collections is expected."
"Assign a Customer Group","Assign a Customer Group"
"Average Sale","Average Sale"
"Back","Back"
"Back - link to the previously viewed page","Back - link to the previously viewed page"
"Back to Login","Back to Login"
"Bad request.","Bad request."
"Based on the VAT ID, the customer would belong to the Customer Group %s.","Based on the VAT ID, the customer would belong to the Customer Group %s."
"Bill to Name","Bill to Name"
"Bought From","Bought From"
"By creating an account with our store, you will be able to move through the checkout process faster, store multiple shipping addresses, view and track your orders in your account and more.","Khi đăng ký tài khoản với chúng tôi, bạn có thể Đặt hàng nhanh hơn, lưu được nhiều địa chỉ nhận hàng, theo dõi tiến trình đặt hàng dễ dàng và nhiều tính năng hơn nữa."
"CSV","CSV"
"Cancel","Cancel"
"Cannot save a new password.","Cannot save a new password."
"Cannot save address.","Cannot save address."
"Cannot save the customer.","Cannot save the customer."
"Cannot share customer accounts globally because some customer accounts with the same emails exist on multiple websites and cannot be merged.","Cannot share customer accounts globally because some customer accounts with the same emails exist on multiple websites and cannot be merged."
"Change Account Password","Change Account Password"
"Change Billing Address","Change Billing Address"
"Change Password","Đổi Mật Khẩu"
"Change Shipping Address","Thay đổi Địa chỉ giao hàng"
"City","City"
"Company","Company"
"Config","Config"
"Configure","Configure"
"Confirm New Password","Nhập lại mật khẩu mới"
"Confirm Password","Xác nhận mật khẩu"
"Confirmation Link Email","Xác nhận liên kết Email"
"Confirmed","Xác nhận"
"Contact Information","Thông Tin Liên Hệ"
"Continue Shopping","Tiếp tục mua hàng"
"Country","Quốc gia"
"Create","Create"
"Create New Account Options","Create New Account Options"
"Create New Customer Account","Đăng ký tài khoản"
"Create Order","Tạo đơn hàng mới"
"Create an Account","Đăng Ký Tài Khoản"
"Create customer","Tạo khách hàng mới"
"Create customer address","Create customer address"
"Current Password","Mật khẩu đang dùng"
"Customer","Khách hàng"
"Customer API","Customer API"
"Customer Account Edit Form","Customer Account Edit Form"
"Customer Account Login Form","Customer Account Login Form"
"Customer Account Logout Success","Customer Account Logout Success"
"Customer Account Registration Form","Customer Account Registration Form"
"Customer Addresses","Customer Addresses"
"Customer Configuration","Customer Configuration"
"Customer Forgot Password Form","Customer Forgot Password Form"
"Customer Group","Customer Group"
"Customer Groups","Nhóm Khách Hàng"
"Customer Information","Customer Information"
"Customer Login","Đăng ký và Đăng Nhập tài khoản"
"Customer My Account (All Pages)","Customer My Account (All Pages)"
"Customer My Account Address Book","Customer My Account Address Book"
"Customer My Account Address Edit Form","Customer My Account Address Edit Form"
"Customer My Account Dashboard","Customer My Account Dashboard"
"Customer Since","Customer Since"
"Customer View","Customer View"
"Customer collection expected.","Customer collection expected."
"Customer email is required","Customer email is required"
"Customer website ID must be specified when using the website scope","Customer website ID must be specified when using the website scope"
"Customer will stay on the current page if ""No"" is selected.","Customer will stay on the current page if ""No"" is selected."
"Customers","Khách Hàng"
"Customers Only","Customers Only"
"Customers Section","Customers Section"
"DD","DD"
"Date","Thời gian"
"Date Added","Date Added"
"Date of Birth","Date of Birth"
"Day","Day"
"Days in Wishlist","Days in Wishlist"
"Default Addresses","Địa Chỉ Mặc Định"
"Default Billing Address","Địa Chỉ Thanh Toán Mặc Định"
"Default Email Domain","Default Email Domain"
"Default Group","Nhóm Mặc Định"
"Default Shipping Address","Địa Chỉ Giao Hàng Mặc Định"
"Default Value for Disable Automatic Group Changes Based on VAT ID","Default Value for Disable Automatic Group Changes Based on VAT ID"
"Default Welcome Email","Default Welcome Email"
"Delete","Delete"
"Delete Address","Delete Address"
"Delete Customer","Delete Customer"
"Delete Customer Group","Delete Customer Group"
"Delete customer","Delete customer"
"Delete customer address","Delete customer address"
"Deleted Stores","Deleted Stores"
"Details","Giới thiệu"
"Disabled","Disabled"
"Edit","Sửa"
"Edit Account Info","Edit Account Info"
"Edit Account Information","Sửa Thông Tin Tài Khoản"
"Edit Address","Sửa"
"Edit Address Entry","Edit Address Entry"
"Edit Customer Group ""%s""","Edit Customer Group ""%s"""
"Edit Customer Groups","Edit Customer Groups"
"Edit Customer's Address","Edit Customer's Address"
"Edit Group","Edit Group"
"Edit Newsletters","Edit Newsletters"
"Email","Email"
"Email Address","Email Address"
"Email Sender","Email Sender"
"Email:","Email:"
"Enable Automatic Assignment to Customer Group","Enable Automatic Assignment to Customer Group"
"Entity collection is expected.","Entity collection is expected."
"Excel XML","Excel XML"
"Failed to confirm customer account.","Failed to confirm customer account."
"Fax","Fax"
"First Name","Họ và Tên đệm"
"Forgot Email Template","Forgot Email Template"
"Forgot Password","Forgot Password"
"Forgot Your Password","Quên mật khẩu"
"Forgot Your Password?","Bạn quên mật khẩu?"
"Forgot and Remind Email Sender","Forgot and Remind Email Sender"
"Form Fields Before","Form Fields Before"
"From your My Account Dashboard you have the ability to view a snapshot of your recent account activity and update your account information. Select a link below to view or edit information.","Từ Bảng Điều Khiển bạn có thể xem nhanh những hoạt động gần đây của bạn và cập nhật thông tin tài khoản. Bạn nhấn vào liên kết để xem hoặc chỉnh sửa thông tin cần thiết."
"Gender","Gender"
"Gender is required.","Gender is required."
"General Subscription","Đăng ký nhận tất cả bản tin"
"Generate Human-Friendly Customer ID","Generate Human-Friendly Customer ID"
"Global","Global"
"Group","Group"
"Group Information","Group Information"
"Group Name","Group Name"
"Group for Invalid VAT ID","Group for Invalid VAT ID"
"Group for Valid VAT ID - Domestic","Group for Valid VAT ID - Domestic"
"Group for Valid VAT ID - Intra-Union","Group for Valid VAT ID - Intra-Union"
"Guest","Guest"
"HTML","HTML"
"Hello, %s!","Xin chào, %s!"
"ID","ID"
"IP Address","IP Address"
"If you believe this is an error, please contact us at %s","If you believe this is an error, please contact us at %s"
"If you have an account with us, please log in.","Nếu bạn đã có Tài Khoản vui lòng Đăng Nhập tại đây."
